ts,o,h,l,c,v
1736118900,42000.0,42045.16,41981.37,42019.33,3032
1736119800,42019.33,42022.51,41951.05,41958.9,2928
1736120700,41958.9,42026.05,41957.26,42006.74,3057
1736121600,42006.74,42015.89,41944.5,41968.29,3059
1736122500,41968.29,41985.18,41932.99,41963.31,3080
1736123400,41963.31,41976.51,41940.98,41950.04,2936
1736124300,41950.04,42070.69,41937.34,42060.59,2979
1736125200,42060.59,42123.81,42039.7,42120.97,2954
1736126100,42120.97,42175.75,42104.41,42162.22,3053
1736127000,42162.22,42199.06,42156.64,42177.34,2948
1736127900,42177.34,42211.72,42141.01,42195.97,3048
1736128800,42195.97,42202.83,42131.07,42168.33,3027
1736129700,42168.33,42176.68,42084.68,42088.73,3008
1736130600,42088.73,42141.12,42077.23,42132.44,2951
1736131500,42132.44,42160.66,42050.29,42073.15,2964
1736132400,42073.15,42122.36,42069.21,42111.72,3026
1736133300,42111.72,42155.17,42102.69,42138.68,2912
1736134200,42138.68,42178.86,42138.37,42167.16,2936
1736135100,42167.16,42207.02,42156.61,42204.57,3021
1736136000,42204.57,42237.56,42111.8,42136.64,3087
1736136900,42136.64,42169.0,42113.15,42122.02,3035
1736137800,42122.02,42145.67,42107.56,42116.0,2993
1736138700,42116.0,42147.77,42101.21,42141.85,3067
1736139600,42141.85,42147.65,42119.15,42119.69,3013
1736140500,42119.69,42124.16,42067.5,42072.97,2999
1736141400,42072.97,42131.34,42043.41,42094.93,2941
1736142300,42094.93,42129.18,42063.95,42079.74,2997
1736143200,42079.74,42175.39,42007.27,42125.67,3109
1736144100,42125.67,42132.34,42003.64,42023.83,3003
1736145000,42023.83,42050.31,42017.14,42021.04,2932
1736145900,42021.04,42033.12,41940.79,41942.12,3037
1736146800,41942.12,42007.47,41912.75,41995.08,2980
1736147700,41995.08,42063.37,41971.96,42040.93,2966
1736148600,42040.93,42059.38,42029.85,42043.11,2867
1736149500,42043.11,42047.4,41944.65,41983.84,3079
1736150400,41983.84,42034.65,41978.39,42002.23,3026
1736151300,42002.23,42065.88,41997.68,42027.72,3108
1736152200,42027.72,42156.95,42023.27,42114.04,2943
1736153100,42114.04,42136.31,42047.17,42063.17,2933
1736154000,42063.17,42139.68,42047.16,42137.43,2926
1736154900,42137.43,42167.78,42077.8,42099.65,3053
1736155800,42099.65,42100.42,42025.87,42037.9,2968
1736156700,42037.9,42102.11,42034.06,42068.85,3098
1736157600,42068.85,42089.52,42041.89,42085.12,2932
1736158500,42085.12,42261.61,42063.9,42214.78,3053
1736159400,42214.78,42222.65,42159.46,42189.53,3059
1736160300,42189.53,42193.59,42060.35,42086.78,3070
1736161200,42086.78,42108.59,42062.31,42064.65,3070
1736162100,42064.65,42206.98,42037.38,42174.88,3056
1736163000,42174.88,42184.06,42112.22,42120.72,3058
1736163900,42120.72,42140.08,42101.9,42112.72,2965
1736164800,42112.72,42118.65,42041.91,42048.54,2942
1736165700,42048.54,42101.38,42044.67,42076.19,2971
1736166600,42076.19,42098.35,42068.32,42080.4,2944
1736167500,42080.4,42228.11,42070.8,42188.88,2875
1736168400,42188.88,42233.87,42159.17,42206.12,2916
1736169300,42206.12,42260.74,42194.36,42233.02,3048
1736170200,42233.02,42235.61,42216.37,42222.66,3002
1736171100,42222.66,42228.57,42094.56,42098.95,2961
1736172000,42098.95,42107.12,41972.92,42015.82,2979
1736172900,42015.82,42017.34,41977.56,42003.7,2967
1736173800,42003.7,42079.89,41974.47,42036.85,3005
